champions,traits,items,cost_total,placement
"TFT14_Zac:2,TFT14_Zac:2,TFT14_Zac:1,TFT14_Zac:1,TFT14_Zac:2",TFT14_Virus,,56,2
"TFT14_Morgana:1,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Chogath:2,TFT14_Zac:1,TFT14_Urgot:2,TFT14_Kobuko:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Virus",,77,5
"TFT14_Alistar:2,TFT14_Graves:2,TFT14_Mordekaiser:2,TFT14_Jarvan:2,TFT14_Annie:2,TFT14_Aphelios:2,TFT14_Zac:1,TFT14_Viego:1,TFT14_Zac:1","TFT14_Bruiser,TFT14_Immortal,TFT14_Techie,TFT14_ViegoUniqueTrait,TFT14_Virus",,59,8
"TFT14_Zyra:1,TFT14_DrMundo:1,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Yuumi:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie",,73,1
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:2,TFT14_Draven:2,TFT14_MissFortune:2","TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,38,7
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2","TFT14_Controller,TFT14_StreetDemon,TFT14_Techie",,55,6
"TFT14_Sylas:2,TFT14_Vayne:3,TFT14_Rhaast:2,TFT14_Senna:2,TFT14_Jarvan:2,TFT14_Zed:2,TFT14_Zed:2,TFT14_Leona:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Strong,TFT14_Vanguard",,54,3
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,59,4
"TFT14_Alistar:2,TFT14_Jarvan:2,TFT14_Yuumi:2,TFT14_Xayah:2,TFT14_Annie:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Viego:1","TFT14_AnimaSquad,TFT14_Immortal,TFT14_Marksman,TFT14_Supercharge,TFT14_Vanguard,TFT14_ViegoUniqueTrait",,61,8
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:3,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,54,1
"TFT14_Alistar:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Annie:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Zac:1,TFT14_Kobuko:2,TFT14_Viego:1","TFT14_Bruiser,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard,TFT14_ViegoUniqueTrait,TFT14_Virus",,76,6
"TFT14_Jax:2,TFT14_Jhin:1,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Viego:1,TFT14_Gragas:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Techie,TFT14_ViegoUniqueTrait",,55,7
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:3,TFT14_Rengar:3,TFT14_Neeko:2,TFT14_Brand:1,TFT14_Garen:1","TFT14_Bruiser,TFT14_Controller,TFT14_Netgod,TFT14_StreetDemon,TFT14_Strong,TFT14_Techie",,48,3
"TFT14_Morgana:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:1,TFT14_Viego:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Techie,TFT14_ViegoUniqueTrait",,54,4
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,72,2
"TFT14_Jax:2,TFT14_TwistedFate:2,TFT14_Darius:2,TFT14_Jhin:2,TFT14_Mordekaiser:2,TFT14_MissFortune:1,TFT14_Sejuani:2,TFT14_Zeri:2,TFT14_Zac:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_EdgeRunner,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Virus",,59,5
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:1,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Garen:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Netgod,TFT14_Thirsty",,57,5
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:1,TFT14_Sejuani:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,41,7
"TFT14_Zyra:3,TFT14_Seraphine:3,TFT14_Veigar:3,TFT14_Shyvana:3,TFT14_Mordekaiser:1,TFT14_Fiddlesticks:1,TFT14_Brand:2,TFT14_Kobuko:2,TFT14_Viego:2,TFT14_Mordekaiser:2","TFT14_Bruiser,TFT14_Cyberboss,TFT14_Techie,TFT14_ViegoUniqueTrait",,68,2
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Yuumi:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie",,72,3
"TFT14_Jax:2,TFT14_Jhin:1,TFT14_Varus:1,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:1,TFT14_Urgot:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner",,41,8
"TFT14_Morgana:2,TFT14_Sylas:2,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:2,TFT14_MissFortune:2,TFT14_Leona:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Mob,TFT14_Thirsty,TFT14_Vanguard",,45,6
"TFT14_Sylas:2,TFT14_Jhin:1,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,57,4
"TFT14_Alistar:1,TFT14_Darius:2,TFT14_Graves:1,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Chogath:2,TFT14_Urgot:2,TFT14_Kobuko:2","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Immortal",,73,1
"TFT14_TwistedFate:3,TFT14_Darius:2,TFT14_Rhaast:3,TFT14_Braum:3,TFT14_Draven:3,TFT14_Gragas:2,TFT14_MissFortune:2,TFT14_Garen:1,TFT14_Aurora:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Mob,TFT14_Netgod,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,71,2
"TFT14_Zyra:3,TFT14_DrMundo:3,TFT14_Morgana:3,TFT14_Alistar:3,TFT14_Seraphine:3,TFT14_Ekko:2,TFT14_Brand:2,TFT14_Viego:1","TFT14_Bruiser,TFT14_Divinicorp,TFT14_Immortal,TFT14_StreetDemon,TFT14_Techie,TFT14_ViegoUniqueTrait",,36,6
"TFT14_Sylas:2,TFT14_Vayne:1,TFT14_Illaoi:2,TFT14_Yuumi:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Renekton:1,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Armorclad,TFT14_Controller,TFT14_Divinicorp,TFT14_Marksman,TFT14_Overlord,TFT14_Strong,TFT14_Vanguard",,48,5
"TFT14_Sylas:2,TFT14_Vayne:3,TFT14_Rhaast:2,TFT14_Senna:3,TFT14_Jarvan:3,TFT14_Zed:2,TFT14_Leona:2,TFT14_Renekton:1,TFT14_Garen:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Netgod,TFT14_Overlord,TFT14_Strong,TFT14_Vanguard",,64,1
"TFT14_NidaleeCougar:2,TFT14_Ekko:2,TFT14_Naafiri:2,TFT14_Yuumi:2,TFT14_Neeko:2,TFT14_Ziggs:2,TFT14_Annie:2,TFT14_Samira:1,TFT14_Zac:2","TFT14_Controller,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Virus",,67,4
"TFT14_DrMundo:1,TFT14_Alistar:2,TFT14_Mordekaiser:3,TFT14_Fiddlesticks:3,TFT14_Gragas:2,TFT14_Chogath:2,TFT14_Renekton:1,TFT14_Garen:1,TFT14_Kobuko:2","TFT14_BallisTek,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Netgod,TFT14_Overlord,TFT14_Techie",,65,3
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:1,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,43,7
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Yuumi:1,TFT14_Neeko:1,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Viego:1,TFT14_Sylas:2","TFT14_Controller,TFT14_StreetDemon,TFT14_Techie,TFT14_ViegoUniqueTrait",,51,8
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:1,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,60,3
"TFT14_Shaco:1,TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:2,TFT14_Braum:2,TFT14_Draven:2,TFT14_MissFortune:1","TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,34,7
"TFT14_Zyra:1,TFT14_DrMundo:2,TFT14_Alistar:1,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Techie",,51,6
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,59,5
"TFT14_Jax:1,TFT14_Draven:2,TFT14_Senna:1,TFT14_Galio:2,TFT14_Zed:1,TFT14_Sejuani:1,TFT14_Zeri:2,TFT14_Renekton:1","TFT14_Armorclad,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Strong,TFT14_Suits,TFT14_Swift",,43,8
"TFT14_Alistar:2,TFT14_Mordekaiser:3,TFT14_Fiddlesticks:3,TFT14_Gragas:2,TFT14_Chogath:2,TFT14_Garen:1,TFT14_Kobuko:1,TFT14_Kobuko:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Netgod,TFT14_Techie",,57,2
"TFT14_Jax:1,TFT14_Draven:2,TFT14_Senna:2,TFT14_Galio:2,TFT14_Zed:3,TFT14_Sejuani:2,TFT14_Zeri:1,TFT14_Renekton:1,TFT14_Garen:2","TFT14_Armorclad,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Netgod,TFT14_Overlord,TFT14_Strong,TFT14_Suits,TFT14_Swift",,70,1
"TFT14_Zyra:3,TFT14_DrMundo:3,TFT14_Morgana:1,TFT14_Alistar:3,TFT14_Seraphine:3,TFT14_Mordekaiser:2,TFT14_Brand:2,TFT14_Chogath:2","TFT14_Bruiser,TFT14_Divinicorp,TFT14_StreetDemon,TFT14_Techie",,39,4
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Jinx:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Chogath:3,TFT14_Samira:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cutter,TFT14_StreetDemon,TFT14_Techie",,62,1
"TFT14_DrMundo:2,TFT14_Alistar:2,TFT14_Darius:2,TFT14_Shyvana:1,TFT14_Mordekaiser:2,TFT14_Fiddlesticks:3,TFT14_Gragas:2,TFT14_Urgot:1,TFT14_Mordekaiser:2","TFT14_BallisTek,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Techie",,44,8
"TFT14_Morgana:1,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:1,TFT14_Urgot:2,TFT14_Aurora:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Thirsty",,74,4
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:1,TFT14_Viego:2,TFT14_Samira:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Techie,TFT14_Thirsty,TFT14_ViegoUniqueTrait",,62,7
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Garen:2,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_Netgod,TFT14_StreetDemon,TFT14_Techie",,66,6
"TFT14_Alistar:1,TFT14_Graves:2,TFT14_Jarvan:2,TFT14_Annie:2,TFT14_Aphelios:3,TFT14_Zac:2,TFT14_Garen:2,TFT14_Kobuko:2,TFT14_Viego:2,TFT14_Sejuani:2","TFT14_Bruiser,TFT14_Immortal,TFT14_Netgod,TFT14_ViegoUniqueTrait,TFT14_Virus",,102,2
"TFT14_NidaleeCougar:2,TFT14_Jax:2,TFT14_Ekko:2,TFT14_Naafiri:3,TFT14_Yuumi:3,TFT14_Neeko:2,TFT14_Sejuani:2,TFT14_Annie:2,TFT14_Samira:1","TFT14_Armorclad,TFT14_Controller,TFT14_EdgeRunner,TFT14_StreetDemon,TFT14_Supercharge",,60,3
"TFT14_Morgana:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_MissFortune:3,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:1,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Divinicorp,TFT14_Overlord,TFT14_Thirsty",,63,5
"TFT14_Shaco:2,TFT14_TwistedFate:2,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_MissFortune:1","TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,37,7
"TFT14_Sylas:2,TFT14_Jhin:1,TFT14_Rhaast:1,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,48,5
"TFT14_Morgana:1,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:3,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Thirsty",,55,4
"TFT14_Sylas:2,TFT14_Seraphine:2,TFT14_Jhin:1,TFT14_Vayne:2,TFT14_Illaoi:3,TFT14_Yuumi:2,TFT14_Xayah:1,TFT14_Leona:1,TFT14_Renekton:1","TFT14_AnimaSquad,TFT14_Armorclad,TFT14_Divinicorp,TFT14_Marksman,TFT14_Overlord,TFT14_Vanguard",,39,8
"TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Mordekaiser:2,TFT14_Yuumi:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Kobuko:1,TFT14_Viego:2,TFT14_Sejuani:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie,TFT14_ViegoUniqueTrait",,83,1
"TFT14_Alistar:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Annie:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Samira:1,TFT14_Aurora:1,TFT14_Viego:1","TFT14_AnimaSquad,TFT14_Immortal,TFT14_Marksman,TFT14_Supercharge,TFT14_Vanguard,TFT14_ViegoUniqueTrait",,69,6
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Garen:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_Netgod,TFT14_StreetDemon,TFT14_Techie",,80,2
"TFT14_Alistar:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Annie:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Zac:2,TFT14_Aurora:2,TFT14_Viego:2,TFT14_Yuumi:1","TFT14_AnimaSquad,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard,TFT14_ViegoUniqueTrait,TFT14_Virus",,93,3
"TFT14_TwistedFate:3,TFT14_Veigar:1,TFT14_Darius:2,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_MissFortune:2,TFT14_Kobuko:2,TFT14_Aurora:1","TFT14_Bruiser,TFT14_Cyberboss,TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Thirsty,TFT14_Vanguard",,65,2
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,66,4
"TFT14_Alistar:1,TFT14_Skarner:2,TFT14_Mordekaiser:2,TFT14_Fiddlesticks:2,TFT14_Gragas:2,TFT14_Vex:1,TFT14_Chogath:2,TFT14_Garen:2,TFT14_Urgot:1","TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_Netgod,TFT14_Techie",,59,8
"TFT14_Zyra:1,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:3,TFT14_Ziggs:2,TFT14_Samira:2,TFT14_Kobuko:2","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,76,1
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,58,7
"TFT14_Garen:2,TFT14_Garen:2,TFT14_Garen:1",TFT14_Netgod,,35,3
"TFT14_Kindred:2,TFT14_KogMaw:1,TFT14_TwistedFate:1,TFT14_Jinx:3,TFT14_Draven:3,TFT14_Galio:3,TFT14_Sejuani:2,TFT14_Zeri:1","TFT14_Armorclad,TFT14_Marksman,TFT14_Swift",,47,6
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,52,5
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Mordekaiser:1,TFT14_Yuumi:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:2","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie",,64,1
"TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Jinx:2,TFT14_Braum:2,TFT14_Jarvan:2,TFT14_Xayah:1,TFT14_Leona:2,TFT14_Aphelios:2","TFT14_AnimaSquad,TFT14_Immortal,TFT14_Marksman,TFT14_Vanguard",,49,7
"TFT14_Rhaast:2,TFT14_Senna:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Zed:2,TFT14_Sejuani:1,TFT14_Zac:1,TFT14_Renekton:2","TFT14_Armorclad,TFT14_Divinicorp,TFT14_Overlord,TFT14_Strong,TFT14_Virus",,62,6
"TFT14_NidaleeCougar:2,TFT14_Ekko:2,TFT14_LeBlanc:2,TFT14_Naafiri:3,TFT14_Yuumi:2,TFT14_Neeko:1,TFT14_Annie:2,TFT14_Viego:1","TFT14_Controller,TFT14_Immortal,TFT14_Supercharge,TFT14_ViegoUniqueTrait",,44,8
"TFT14_Morgana:2,TFT14_Jax:2,TFT14_Jhin:2,TFT14_Varus:2,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Aurora:1","TFT14_Armorclad,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Techie,TFT14_Thirsty",,53,5
"TFT14_Sylas:3,TFT14_Jhin:2,TFT14_Rhaast:1,TFT14_Jinx:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,58,4
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Ziggs:2,TFT14_Samira:1,TFT14_Kobuko:1","TFT14_Bruiser,TFT14_Controller,TFT14_Cyberboss,TFT14_StreetDemon,TFT14_Techie",,58,2
"TFT14_Shaco:2,TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:2,TFT14_Braum:3,TFT14_Draven:3,TFT14_MissFortune:1,TFT14_Zeri:1","TFT14_Divinicorp,TFT14_Mob,TFT14_Swift,TFT14_Vanguard",,46,3
"TFT14_Kindred:2,TFT14_Sylas:2,TFT14_Jhin:2,TFT14_Rhaast:3,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,57,1
"TFT14_Ekko:1,TFT14_Yuumi:1,TFT14_Neeko:1,TFT14_Ziggs:1,TFT14_Annie:2,TFT14_Samira:1,TFT14_Zac:1,TFT14_Garen:1","TFT14_Controller,TFT14_Netgod,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Virus",,46,8
"TFT14_Jhin:2,TFT14_Rhaast:2,TFT14_Braum:2,TFT14_Jarvan:2,TFT14_Xayah:2,TFT14_Leona:2,TFT14_Aphelios:2,TFT14_Aurora:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Immortal,TFT14_Marksman,TFT14_Thirsty,TFT14_Vanguard",,57,4
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_LeBlanc:1,TFT14_Jinx:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:2","TFT14_Controller,TFT14_StreetDemon,TFT14_Techie",,42,5
"TFT14_Zyra:1,TFT14_DrMundo:1,TFT14_Ekko:2,TFT14_Yuumi:1,TFT14_Neeko:2,TFT14_Brand:2,TFT14_Chogath:2,TFT14_Samira:1,TFT14_Zac:1","TFT14_Bruiser,TFT14_Controller,TFT14_StreetDemon,TFT14_Supercharge,TFT14_Techie,TFT14_Virus",,53,6
"TFT14_Morgana:1,TFT14_Varus:1,TFT14_Mordekaiser:2,TFT14_Gragas:2,TFT14_Vex:2,TFT14_Sejuani:2,TFT14_Renekton:2,TFT14_Urgot:1,TFT14_Aurora:2","TFT14_Armorclad,TFT14_BallisTek,TFT14_Bruiser,TFT14_Cutter,TFT14_Divinicorp,TFT14_EdgeRunner,TFT14_Overlord,TFT14_Thirsty",,71,2
"TFT14_Zyra:2,TFT14_DrMundo:2,TFT14_Ekko:2,TFT14_Rengar:2,TFT14_Neeko:2,TFT14_Brand:1,TFT14_Ziggs:1,TFT14_Samira:2","TFT14_Controller,TFT14_Cutter,TFT14_StreetDemon,TFT14_Techie",,48,7
"TFT14_Jax:2,TFT14_TwistedFate:2,TFT14_Darius:2,TFT14_Jhin:2,TFT14_Mordekaiser:2,TFT14_MissFortune:2,TFT14_Sejuani:2,TFT14_Zeri:2","TFT14_Armorclad,TFT14_Bruiser,TFT14_EdgeRunner,TFT14_Mob,TFT14_Swift,TFT14_Thirsty",,50,3
"TFT14_Sylas:1,TFT14_Vayne:3,TFT14_Rhaast:2,TFT14_Senna:2,TFT14_Jarvan:2,TFT14_Zed:2,TFT14_Leona:2,TFT14_Urgot:1","TFT14_AnimaSquad,TFT14_Divinicorp,TFT14_Strong,TFT14_Vanguard",,50,7
"TFT14_TwistedFate:3,TFT14_Darius:3,TFT14_Rhaast:2,TFT14_Skarner:2,TFT14_Braum:3,TFT14_Draven:1,TFT14_Jarvan:1,TFT14_MissFortune:2","TFT14_Divinicorp,TFT14_Mob,TFT14_Strong,TFT14_Swift,TFT14_Vanguard",,45,5
